link_id,from_node_id,to_node_id,length,geometry
1051,455,433,353.3693877,"LINESTRING (-109.936291 34.329842, -109.936425 34.326666)"
1052,460,461,53.3223217,"LINESTRING (-109.956523 34.326229, -109.957103 34.326252)"
1053,461,460,53.3223217,"LINESTRING (-109.957103 34.326252, -109.956523 34.326229)"
1054,462,427,725.377366,"LINESTRING (-109.952437 34.265721, -109.944702 34.267022)"
1055,427,462,725.377366,"LINESTRING (-109.944702 34.267022, -109.952437 34.265721)"
1056,427,420,888.7057562,"LINESTRING (-109.944702 34.267022, -109.935239 34.268671)"
1057,420,427,888.7057562,"LINESTRING (-109.935239 34.268671, -109.944702 34.267022)"
1058,420,387,1347.694395,"LINESTRING (-109.935239 34.268671, -109.920893 34.27119)"
1059,387,420,1347.694395,"LINESTRING (-109.920893 34.27119, -109.935239 34.268671)"
1060,387,395,213.5435771,"LINESTRING (-109.920893 34.27119, -109.918617 34.271578)"
1061,395,387,213.5435771,"LINESTRING (-109.918617 34.271578, -109.920893 34.27119)"
1062,395,394,37.63778899,"LINESTRING (-109.918617 34.271578, -109.918216 34.271647)"
